No.,Name,Genre,Place,Remarks
0,水戸芸術館(凪),観光スポット,水戸市,高さ100mの塔をシンボルとする芸術館
1,ほしいも専門店大丸屋,グルメスポット,ひたちなか市,幸田商店も有名なほしいも屋の一つ
2,茨城のイントネーション,方言,,怒ってるように聞こえる茨城弁など
3,パン工房ぐるぐる ひたちなか店,グルメスポット,ひたちなか市,奥久慈卵のとろ～りクリームパンが有名
4,七ツ洞公園,観光スポット,水戸市,本格的な英国風景式庭園
5,大洗磯前神社,観光スポット,大洗町,太平洋に面した丘の上に鎮座する神社
6,酒列磯前神社,観光スポット,ひたちなか市,宝くじの高額当選で有名な神社
7,那珂市総合公園ひまわり畑,観光スポット,那珂市,8月下旬には25万本のひまわりが咲き誇る
8,水戸黄門まつり,イベント,水戸市,中心部の商店街などで毎年夏に開催される
9,保和苑,観光スポット,水戸市,初夏には100種のあじさいが咲き誇る
10,タワーレコード 水戸オーパ店,観光スポット,水戸市,"根本凪激推し店, みんな行こうね^^"
11,偕楽園もみじ谷,観光スポット,水戸市,毎年170本のモミジが赤や黄色に色づく
12,国営ひたち海浜公園,観光スポット,ひたちなか市,春のネモフィラや秋のコキアが風物詩
13,つくね納豆(アンコウ鍋),名産品・特産品,,茨城の郷土料理
14,伊勢屋,グルメスポット,水戸市,焼団子(みたらし団子)がおすすめ
15,にいつま,グルメスポット,水戸市,シューあら大福が看板商品
16,アクアワールド茨城県大洗水族館,観光スポット,大洗町,サメの飼育種数が全国一
17,牛久大仏,観光スポット,牛久市,世界一の大きさのブロンズ製仏像
18,パティスリーKOSAI 元吉田本店,グルメスポット,水戸市,茨城の焼栗などのお菓子を取り揃えている
19,たらいうどん椛や,グルメスポット,水戸市,自家製のたらいうどんや豆腐がおすすめ
20,袋田の滝,観光スポット,大子町,日本三名瀑の一つに数えられる滝
21,"茨城のゆるキャラ, VTuber",キャラクター,,"ハッスル黄門, みとちゃん, 茨ひより, etc."
22,42位(魅力度ランキング),その他,,2020年に7年連続の最下位を脱出
23,那珂湊おさかな市場,観光スポット,ひたちなか市,魚介類の販売やお食事処が多数軒を連ねる
24,日立シビックセンター,観光スポット,日立市,冬のイルミネーションが絶景
25,つくばわんわんランド,観光スポット,つくば市,500頭以上の名犬が集合するテーマパーク
26,木の葉ずく,グルメスポット,水戸市,柿のタルトやシュークリームがおすすめ
27,干し芋,名産品・特産品,,紅はるかは糖度が高く絶品
28,"ネストビール, おつまみ",ご当地グルメ,,"あん肝, 中村さん家のおつまみしらうお"
29,鹿島アントラーズ,スポーツ,鹿嶋市,鹿嶋市を本拠地とするプロサッカークラブ
30,いばらきフラワーパーク,観光スポット,石岡市,冬場はイルミネーションが開催
31,霞ヶ浦ふれあいランド・虹の塔,観光スポット,行方市,展望台からは360度の大パノラマが広がる
32,宮下銀座,観光スポット,水戸市,レトロな雰囲気のアーケード街
33,水戸ホーリーホック,スポーツ,水戸市,水戸市を本拠地とするプロサッカークラブ
34,大洗サンビーチキャンプ場,観光スポット,大洗町,大洗海岸沿いにあるキャンプ場
35,カミナリ,その他,鉾田市,茨城県鉾田市出身のお笑い芸人
36,日立駅,観光スポット,日立市,海からの初日の出を拝める駅
37,笠間稲荷神社,観光スポット,笠間市,日本三大稲荷の一つに数えられる神社
38,牛久大仏の年越し(修正会),イベント,牛久市,大仏のライトアップや花火を楽しめる
39,いばらきっ子郷土検定,その他,,茨城県独自の郷土検定
40,根本茶寮 高級ボトリングティー,名産品・特産品,,手揉みの高級茶(750mlで約3万円)
41,たがね餅,名産品・特産品,,茨城県南部地域の郷土料理
42,サザコーヒー 本店,グルメスポット,ひたちなか市,"徳川将軍珈琲, カステラショートケーキ"
43,いばらキッス,名産品・特産品,,茨城県オリジナル品種のいちご
44,千波湖,観光スポット,水戸市,菊地アナのお気に入りスポット
45,オセロ,その他,水戸市,水戸が発祥の地
46,IBARAKI sense,お土産スポット,銀座1丁目,アンテナショップ(大みか饅頭がおすすめ)
47,わくわくスライダー,観光スポット,日立市,奥日立きららの里にあるスライダー
48,ほっしぃ～も,ご当地グルメ,ひたちなか市,お菓子のきくちで購入できるお菓子
49,偕楽園,観光スポット,水戸市,東門前のおみやげ処では梅ソフトが人気
50,シーフードレストラン メヒコ,グルメスポット,ひたちなか市,フラミンゴ館(大洗はオーシャンビュー)
51,ひたちなか海浜鉄道,その他,ひたちなか市,ひたちなか海浜公園西口まで延伸が決定
52,うまい棒,工場・メーカー,常総市,メーカーが常総市にある(リスカ株式会社)
53,究極のメロンパン,ご当地グルメ,神栖市,パン工房ファリーナのメロンパン
54,こもれび森のイバライド,観光スポット,稲敷市,園内にシルバニアパークがある
55,大杉神社の豪華すぎるトイレ,観光スポット,稲敷市,壁や天井に豪華な装飾が施されている
56,納豆パフェ,ご当地グルメ,,茨城県庁25Fのカフェ(2019.03.31閉店)
57,勝田あんぱん,ご当地グルメ,ひたちなか市,ハースブラウン勝田店で購入できる
58,たべっ子どうぶつ,工場・メーカー,古河市,製造工場が古河市にある(株式会社ギンビス)
59,セイコーマート,その他,茨城県各地,水戸市にねもと店があるコンビニ
60,極みのいちご大福(亀印製菓),ご当地グルメ,,とちおとめを使った期間限定のいちご大福
61,茨城県庁,観光スポット,水戸市,様々な作品の聖地となっている
62,常陸国出雲大社,観光スポット,笠間市,縁結びで有名な神社
63,「いろは」と「ぽてと」,動植物,大洗町,大洗水族館の新メンバーのカワウソ
64,JAXA筑波宇宙センター,観光スポット,つくば市,宇宙開発の中枢センター
65,ネモフィラブルーシフォン,ご当地グルメ,ひたちなか市,ひたち海浜公園のグラスハウスで提供
66,いばらじおん,キャラクター,,茨城放送のイメージキャラクター
67,ROCK IN JAPAN FESTIVAL,イベント,ひたちなか市,ひたち海浜公園で毎年8月に開催
68,エレファントカフェ,グルメスポット,日立市,かみね動物園内にあるカフェ(ゾウが見れる)
69,竜神大吊橋,観光スポット,常陸太田市,日本最大級の長さ(375m)を誇る吊橋
70,鮟鱇ひとすじ,ご当地グルメ,,アンコウをチップスにしたおつまみ
71,ファーマーズマーケット なだろう,グルメスポット,鉾田市,茨城の新鮮な食材を多く取り揃えた直売所
72,イバラキング,名産品・特産品,,茨城県が開発したオリジナル品種のメロン
73,茨城メロンいがっぺクリーミーフラペチーノ,ご当地グルメ,,茨城のJIMOTOフラペチーノ(スタバ)
